v,vw,o,c,h,l,t,n,timestamp
24605941.0,277.1555,276.9,277.42,278.73,274.87,1625716800000,333194,2021-07-08 04:00:00
23676665.0,277.0749,275.72,277.94,278.05,275.32,1625803200000,264353,2021-07-09 04:00:00
18931695.0,277.5176,279.157,277.32,279.77,276.58,1626062400000,212250,2021-07-12 04:00:00
26120128.0,281.0168,277.52,280.98,282.8477,277.39,1626148800000,305657,2021-07-13 04:00:00
23113662.0,282.6312,282.345,282.51,283.66,280.55,1626235200000,268304,2021-07-14 04:00:00
22604227.0,281.0044,282.0,281.03,282.51,279.83,1626321600000,296274,2021-07-15 04:00:00
26186848.0,281.6857,282.07,280.75,284.1,279.46,1626408000000,283333,2021-07-16 04:00:00
32935634.0,277.0244,278.9335,277.01,280.37,274.45,1626667200000,405114,2021-07-19 04:00:00
26259741.0,279.0782,278.03,279.32,280.97,276.26,1626753600000,267195,2021-07-20 04:00:00
24364320.0,280.489,278.905,281.4,281.52,277.29,1626840000000,254890,2021-07-21 04:00:00
23384059.0,285.5054,283.84,286.14,286.42,283.42,1626926400000,257353,2021-07-22 04:00:00
22767371.0,288.9299,287.37,289.67,289.99,286.5,1627012800000,277182,2021-07-23 04:00:00
23153573.0,288.5004,289.0,289.05,289.69,286.642,1627272000000,260023,2021-07-26 04:00:00
33592179.0,285.3983,289.43,286.54,289.575,282.95,1627358400000,427018,2021-07-27 04:00:00
33506853.0,287.211,288.99,286.22,290.15,283.8303,1627444800000,392256,2021-07-28 04:00:00
18168294.0,286.8593,286.235,286.5,288.618,286.08,1627531200000,227631,2021-07-29 04:00:00
20944846.0,284.9562,285.17,284.91,286.66,283.91,1627617600000,258726,2021-07-30 04:00:00
16261757.0,285.2642,286.36,284.82,286.775,283.74,1627876800000,216148,2021-08-02 04:00:00
17879048.0,286.0974,285.42,287.12,287.23,284.0,1627963200000,227749,2021-08-03 04:00:00
16187331.0,286.3071,286.22,286.51,287.5883,284.65,1628049600000,204550,2021-08-04 04:00:00
13900167.0,288.4802,286.88,289.52,289.63,286.1,1628136000000,184739,2021-08-05 04:00:00
16589336.0,288.8028,288.505,289.46,289.5,287.6238,1628222400000,175525,2021-08-06 04:00:00
16117629.0,288.6941,289.75,288.33,291.55,287.81,1628481600000,189324,2021-08-09 04:00:00
18616578.0,286.8988,288.8,286.44,289.25,285.2,1628568000000,211784,2021-08-10 04:00:00
13955934.0,286.9447,287.21,286.95,288.66,285.86,1628654400000,189792,2021-08-11 04:00:00
14570391.0,289.0645,286.63,289.81,289.97,286.34,1628740800000,174282,2021-08-12 04:00:00
18249046.0,291.3639,289.48,292.85,292.9,289.3,1628827200000,192365,2021-08-13 04:00:00
22516027.0,293.0005,293.19,294.6,294.82,290.02,1629086400000,255726,2021-08-16 04:00:00
20075250.0,292.6055,292.39,293.08,293.43,291.08,1629172800000,262741,2021-08-17 04:00:00
21619885.0,292.5995,292.04,290.73,294.82,290.27,1629259200000,251718,2021-08-18 04:00:00
29850461.0,294.7394,288.6935,296.77,297.47,288.64,1629345600000,356371,2021-08-19 04:00:00
40815006.0,303.5992,299.72,304.36,305.84,298.06,1629432000000,424370,2021-08-20 04:00:00
22820157.0,304.2828,303.245,304.65,305.4,301.85,1629691200000,273395,2021-08-23 04:00:00
18153274.0,303.0899,305.02,302.62,305.65,302.0035,1629777600000,239282,2021-08-24 04:00:00
19906057.0,301.9554,304.3,302.01,304.59,300.42,1629864000000,227170,2021-08-25 04:00:00
17666084.0,300.2966,300.99,299.09,302.429,298.95,1629950400000,243800,2021-08-26 04:00:00
22605726.0,299.2422,298.987,299.72,300.87,296.83,1630036800000,242943,2021-08-27 04:00:00
16348072.0,303.2701,301.115,303.59,304.22,301.06,1630296000000,209224,2021-08-30 04:00:00
26274238.0,302.7647,304.42,301.88,304.5,301.5,1630382400000,234756,2021-08-31 04:00:00
18914026.0,303.0256,302.865,301.83,305.19,301.49,1630468800000,244910,2021-09-01 04:00:00
16290545.0,301.3689,302.2,301.15,303.3602,300.18,1630555200000,227810,2021-09-02 04:00:00
14751609.0,301.4777,300.99,301.14,302.6,300.26,1630641600000,181614,2021-09-03 04:00:00
17369332.0,299.9436,301.005,300.18,301.09,298.2,1630987200000,270623,2021-09-07 04:00:00
15046819.0,299.1185,299.78,300.21,300.61,297.4651,1631073600000,246198,2021-09-08 04:00:00
19927000.0,298.6934,300.82,297.25,302.14,297.0,1631160000000,274731,2021-09-09 04:00:00
19633363.0,297.3192,298.415,295.71,299.92,295.38,1631246400000,296248,2021-09-10 04:00:00
